Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
age,,,text,Age in years,,,integer,,,,,,,,,,
sex,,,dropdown,Gender:,"0, Female | 1, Male",,,,,,,,,,,,
nonwhite,,,dropdown,Is the patient nonwhite?,"0, No | 1, Yes",,,,,,,,,,,,
education_level,demographics,,dropdown,Highest Level of Education (Completed):,"0, Elementary (1-5) | 1, Middle School (6-8) | 2, High School (9-12) | 3, College | 4, Post Graduate",,,,,,,,,,,,
ed_delirium,,,dropdown,Was the patient delirious in the ED (0-hour or 3-hour)?,"0, No | 1, Yes",,,,,,,,,,,,
delirium_0h,,,dropdown,Was the patient delirious in the ED at 0-hour?,"0, No | 1, Yes",,,,,,,,,,,,
charlson,,,text,Charlson Comorbidity Index,,,integer,,,,,,,,,,
mod_apache_noage,,,text,Acute Physiology Score (Severity of index) with Age,,,integer,,,,,,,,,,
mod_apache,,,text,Acute Physiology Score (Severity of index),,,integer,,,,,,,,,,
ltc,,,dropdown,Does the patient live in a nursing home?,"0, No | 1, Yes",,,,,,,,,,,,
dementia _lib,,,dropdown,Does the patient have dementia?,"0, No | 1, Yes",,,,,,,,,,,,
hosp_los,,,dropdown,Hospital Length of stay,,,integer,,,,,,,,,,
il6,,,text,Serum IL-6 (inflammation),,,number,,,,,,,,,,
il8,,,text,Serum IL-8 (inflammation),,,number,,,,,,,,,,
s100b,,,text,Serum S100b (neuronal injury),,,number,,,,,,,,,,
PAI,,,text,Serum PAI-I (coagulation),,,number,,,,,,,,,,
sTNFR1,,,text,Serum STNFR1 (inflammation),,,number,,,,,,,,,,
proteinC,,,text,Serum protein C (coagulation),,,number,,,,,,,,,,
etiol4_drug_dich1,,,dropdown,Delirium etiology - Drug,"0, No | 1, Yes",,,,,,,,,,,,
etiol4_cns_dich1,,,dropdown,Delirium etiology - Central Nervous System,"0, No | 1, Yes",,,,,,,,,,,,
etiol4_metab_dich1,,,dropdown,Delirium etiology - Metabolic disturbance,"0, No | 1, Yes",,,,,,,,,,,,
etiol4_organ_dys_dich1,,,dropdown,Delirium etiology - Organ Dysfunction,"0, No | 1, Yes",,,,,,,,,,,,
etiol4_infection_sys_dich1,,,dropdown,Delirium etiology - Infection,"0, No | 1, Yes",,,,,,,,,,,,
etiol4_other_dich1,,,dropdown,Delirium etiology - Other,"0, No | 1, Yes",,,,,,,,,,,,
OARS_ADL_ED_0h_recode,,,text,Pre-illess OARS ADL (Function),,,integer,,,,,,,,,,
OARS_ADL_ED_6m_recode,,,text,6-month OARS ADL (Function),,,integer,,,,,,,,,,
iqcode_score,,,text,Pre-illness IQCODE (Cognition),,,number,,,,,,,,,,
iqcode6mo,,,text,6-month IQCODE (Cognition),,,number,,,,,,,,,,
